venta_id,cliente_id,usu_vend_id,tipo_comprobante,serie_comprobante,num_comprobante,fecha_hora,impuesto,total_venta,estado
1 ,1 ,1 ,Boleta ,B001 ,0000001 ,2018-01-08 00:00:00 ,18 ,60 ,Aceptado
2 ,2 ,1 ,Boleta ,B001 ,0000002 ,2018-01-08 00:00:01 ,18 ,85 ,Aceptado
3 ,3 ,2 ,Boleta ,B001 ,0000003 ,2018-01-08 00:00:02 ,18 ,128 ,Aceptado
4 ,4 ,1 ,Boleta ,B001 ,0000004 ,2018-01-08 00:00:03 ,18 ,150 ,Aceptado
5 ,5 ,1 ,Boleta ,B001 ,0000005 ,2018-01-08 00:00:04 ,18 ,183 ,Aceptado
6 ,6 ,2 ,Boleta ,B001 ,0000006 ,2018-01-08 00:00:05 ,18 ,118 ,Aceptado
7 ,7 ,1 ,Boleta ,B001 ,0000007 ,2018-01-08 00:00:06 ,18 ,90 ,Aceptado
8 ,8 ,1 ,Boleta ,B001 ,0000008 ,2018-01-08 00:00:07 ,18 ,73 ,Aceptado
9 ,9 ,2 ,Boleta ,B001 ,0000009 ,2018-01-08 00:00:08 ,18 ,283 ,Aceptado
10 ,10 ,1 ,Boleta ,B001 ,0000010 ,2018-01-08 00:00:09 ,18 ,85 ,Aceptado
11 ,11 ,1 ,Boleta ,B001 ,0000011 ,2018-01-11 00:00:00 ,18 ,75 ,Aceptado
12 ,12 ,2 ,Boleta ,B001 ,0000012 ,2018-01-11 00:00:01 ,18 ,185 ,Aceptado
13 ,13 ,1 ,Boleta ,B001 ,0000013 ,2018-01-11 00:00:02 ,18 ,129 ,Aceptado
14 ,14 ,1 ,Boleta ,B001 ,0000014 ,2018-01-11 00:00:03 ,18 ,138 ,Aceptado
15 ,15 ,2 ,Boleta ,B001 ,0000015 ,2018-01-11 00:00:04 ,18 ,110 ,Aceptado
16 ,16 ,1 ,Boleta ,B001 ,0000016 ,2018-01-11 00:00:05 ,18 ,160 ,Aceptado
17 ,17 ,1 ,Boleta ,B001 ,0000017 ,2018-01-11 00:00:06 ,18 ,202 ,Aceptado
